dataset,split,group,image,original_split
dataset_2,train,498d5967-IMG_20220927_111217,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/498d5967-IMG_20220927_111217_jpg.rf.14b2d9c083ee6640f0f93c735455d1ff.jpg,train
dataset_2,train,410d7782-test_image_81,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/410d7782-test_image_81_flipped_jpg.rf.7ff11697457bf8797d020b4da160f852.jpg,train
dataset_2,train,1c79cb9f-test_image_13,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1c79cb9f-test_image_13_flipped_jpg.rf.777efd161c7779574965d8424d685a64.jpg,train
dataset_2,train,1ec7ea58-IMG_20220927_110922,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1ec7ea58-IMG_20220927_110922_jpg.rf.c2a9a08ce358a90a7cc79a01eb6650a0.jpg,train
dataset_2,test,7e48ec3b-IMG_20220927_111521,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/7e48ec3b-IMG_20220927_111521_flipped_jpg.rf.69ab411e9048abea43c9a937723efdf6.jpg,train
dataset_2,train,41748482-test_image_45,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/41748482-test_image_45_flipped_jpg.rf.f3dff526f812226c5f557fef75917c82.jpg,train
dataset_2,test,train_4_640_aug_08,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_4_640_aug_08_combined_2_jpg.rf.588e91464abaf001334fe32e4f12e05e.jpg,train
dataset_2,test,1728981481037,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1728981481037_jpg.rf.67a07f55c23315c05546bf9475cc5197.jpg,train
dataset_2,test,0a5faf0d-IMG_20220927_110918,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/0a5faf0d-IMG_20220927_110918_jpg.rf.67ed7cb9398d09d2e304e0b660b4d460.jpg,train
dataset_2,train,7e5a4ccc-test_image_62,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/7e5a4ccc-test_image_62_flipped_jpg.rf.d9590aec1be466ed309a6c628dd4fd3c.jpg,train
dataset_2,test,1000001794,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1000001794_jpg.rf.14ebd50e128f312d714bf7dc7a82b77c.jpg,train
dataset_2,test,e2ae9376-IMG_20220927_164824,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/e2ae9376-IMG_20220927_164824_flipped_jpg.rf.68fe73a44da5b7a343037f7cbc8046d3.jpg,train
dataset_2,train,1728981481051,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1728981481051_jpg.rf.1b77215dcd6f8e125a66c61c7e47eaad.jpg,train
dataset_2,train,d791da1b-IMG_20220927_111058,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/d791da1b-IMG_20220927_111058_flipped_jpg.rf.f12cc85e82fda615d74b729db93b448a.jpg,train
dataset_2,test,c3cb95e5-IMG_20220927_164851,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/c3cb95e5-IMG_20220927_164851_jpg.rf.9d0c7d955b193efa82f9f39d2d53be4e.jpg,train
dataset_2,train,1729063780608,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1729063780608_jpg.rf.d3b11782f53af2b920d2a6f12a1d8d68.jpg,train
dataset_2,train,5715e792-test_image_11,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/5715e792-test_image_11_jpg.rf.28efc1adc3f89251119cd331c166c732.jpg,train
dataset_2,train,1728981480960,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1728981480960_jpg.rf.0c8270c246c1b3ef77b3aec7df073a42.jpg,train
dataset_2,test,1729063780980,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1729063780980_jpg.rf.4e71b0c7cb2bfd69d203e749d0c95afc.jpg,train
dataset_2,train,f6246f1e-IMG_20220927_111704,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/f6246f1e-IMG_20220927_111704_flipped_jpg.rf.73f6a386f78f85a7a7c0629b55d7bf5d.jpg,train
dataset_2,train,26a6c91e-IMG_20220927_111048,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/26a6c91e-IMG_20220927_111048_flipped_jpg.rf.20b65638fd29294bdbdeb38714790539.jpg,train
dataset_2,train,1729063780486,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1729063780486_jpg.rf.4721440900cf745e7a8a7051e0bb47a0.jpg,train
dataset_2,test,1728981480946,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1728981480946_jpg.rf.537b7a370170bea54ee10553bd77e0a6.jpg,train
dataset_2,train,54e8b9e8-IMG_20220927_110835,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/54e8b9e8-IMG_20220927_110835_flipped_jpg.rf.13a48bcbf2d8c717a0210688d7c6e92e.jpg,train
dataset_2,train,c27d437e-test_image_69,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/c27d437e-test_image_69_jpg.rf.a6c5f97802f2f1959276fdd97ce5bb83.jpg,train
dataset_2,train,train_1_0_640,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_1_0_640_jpg.rf.6a985acc15d7effab4942ca02392f875.jpg,train
dataset_2,train,81f4306c-IMG_20220927_110910,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/81f4306c-IMG_20220927_110910_flipped_jpg.rf.9eb0f9e70ea3bea1e3f3d9768fc4f8ac.jpg,train
dataset_2,val,cdee3cc5-IMG_20220927_111213,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/cdee3cc5-IMG_20220927_111213_flipped_jpg.rf.f73aa44a78b348734a9eba581548c5a1.jpg,train
dataset_2,train,987fe529-test_image_31,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/987fe529-test_image_31_flipped_jpg.rf.e546e6c81abdd00888bcbfa55df667bd.jpg,train
dataset_2,test,1729063780805,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1729063780805_jpg.rf.751bdbe8af9bdf5c9a539438319d7d67.jpg,train
dataset_2,train,train_1_640_aug_04,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_1_640_aug_04_blur_jpg.rf.a92322d8d8984f2e90c1c6f49bee4fb7.jpg,train
dataset_2,train,6173,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/6173_jpg.rf.270e0002e586bffb3551c54074685ca1.jpg,train
dataset_2,train,24dcf72c-test_image_81,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/24dcf72c-test_image_81_jpg.rf.bdbdc94676ca0728eeca1e6b50904c0d.jpg,train
dataset_2,train,train_5_640_original,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_5_640_original_jpg.rf.8274939f9e592013b904f09c0b4a2fe9.jpg,train
dataset_2,train,train_3_640_aug_04,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_3_640_aug_04_blur_jpg.rf.9f84a079c7a2b0943ce7954be0e2a44b.jpg,train
dataset_2,train,64f148d9-test_image_85,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/64f148d9-test_image_85_jpg.rf.7d7f088c87a10b586ac01d9b13c6f847.jpg,train
dataset_2,train,13b63dd4-IMG_20220927_111719,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/13b63dd4-IMG_20220927_111719_flipped_jpg.rf.ed297ec81b1d15a551a8edd9696c7be7.jpg,train
dataset_2,train,c67cdbbc-test_image_83,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/c67cdbbc-test_image_83_jpg.rf.44139e1cb33c6a368a5a324597e6e047.jpg,train
dataset_2,test,0b108350-test_image_25,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/0b108350-test_image_25_flipped_jpg.rf.00d4dbd531217e0326a6e2730d4e8300.jpg,train
dataset_2,val,train_3_640_aug_02,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_3_640_aug_02_brightness_jpg.rf.e89c37e94a62451e0c109d3c508fb1c8.jpg,train
dataset_2,train,f1c88141-IMG_20220927_111115,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/f1c88141-IMG_20220927_111115_flipped_jpg.rf.108873d97de128483ecd89528d2ccc7e.jpg,train
dataset_2,train,ba2e6948-test_image_61,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/ba2e6948-test_image_61_jpg.rf.0794fbee25ae9c89cdcab42919e20544.jpg,train
dataset_2,train,fdeb1a4f-test_image_73,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/fdeb1a4f-test_image_73_jpg.rf.48aadd6ed38dd2ee70c9dd0572ca6598.jpg,train
dataset_2,train,4884ca2a-IMG_20220927_111648,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/4884ca2a-IMG_20220927_111648_jpg.rf.23ae115b37c683203692b2b463dd4518.jpg,train
dataset_2,val,train_3_640_original,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/train_3_640_original_jpg.rf.a0cf6137cb17463477ab2491ffb16f07.jpg,train
dataset_2,val,523312c2-test_image_84,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/523312c2-test_image_84_flipped_jpg.rf.00c7109510bc7495164dd038438dc7b7.jpg,train
dataset_2,train,1729063780685,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/1729063780685_jpg.rf.551c5b944165c8804646dc6a9ed5557d.jpg,train
dataset_2,train,f3f88ddc-IMG_20220927_164840,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/f3f88ddc-IMG_20220927_164840_jpg.rf.ea6964c57df0f01651145f8b14d5b529.jpg,train
dataset_2,train,0201a00a-IMG_20220927_110903,/Users/avnisingh/delhivery-pallet-pose/data/raw/dataset_2/train/images/0201a00a-IMG_20220927_110903_flipped_jpg.rf.b8e4ad5cda343044fd209529c9ccf0da.jpg,train
